"OBJECTID","YEAR_","STATE","AGENCY","UNIT_ID","FIRE_NAME","INC_NUM","ALARM_DATE","CONT_DATE","CAUSE","C_METHOD","OBJECTIVE","GIS_ACRES","DECADES"
26515,1952,"CA","CDF","SLU","HOUCHIN","00000000","1952/05/15 00:00:01+00","",14,NA,1,421.69724,1950
26516,1952,"CA","CDF","BEU","JOSHUA CREEK","00000000","1952/10/03 00:00:01+00","",14,NA,1,2617.7627,1950
26517,1952,"CA","CDF","BEU","LA MANCCHIA","00000000","1952/08/16 00:00:01+00","",14,NA,1,1324.0278,1950
26518,1952,"CA","CDF","BEU","MELENDY","00000000","1952/10/01 00:00:01+00","",14,NA,1,4484.6333,1950
26519,1952,"CA","CDF","BEU","SHIRTTAIL CANYON","00000000","1952/08/24 00:00:01+00","",14,NA,1,658.37238,1950
26520,1952,"CA","CDF","FKU","FREEMAN","00000000","1952/08/17 00:00:01+00","",14,NA,1,136.06953,1950
26521,1952,"CA","CDF","FKU","MURIETTA","00000000","1952/07/07 00:00:01+00","",14,NA,1,327.77155,1950
26522,1953,"CA","CDF","LMU","HALLELUJAH BLM #6","00000000","1953/09/15 00:00:01+00","",14,NA,1,961.21869,1950
26523,1953,"CA","CDF","TCU","HIGH MTN.","00000000","1953/07/16 00:00:01+00","",14,NA,1,556.45929,1950
26524,1953,"CA","CDF","TCU","INDIAN CREEK","00000000","1953/09/10 00:00:01+00","",14,NA,1,331.36441,1950
26525,1953,"CA","CDF","MMU","INDIAN PEAK","00000000","1953/07/24 00:00:01+00","",14,NA,1,1854.5496,1950
26526,1953,"CA","CDF","LNU","J. TUTEUR","00000000","1953/10/08 00:00:01+00","",14,NA,1,186.84705,1950
26527,1953,"CA","CDF","LNU","L. ANDERSON","00000000","1953/07/10 00:00:01+00","",14,NA,1,418.76144,1950
